Image Number,Tract,Visit,Patch,xcoord,ycoord,ccdnum,Catalog ID
0,0,303601,25,225.814912455,98.684397753,10,130395679552962672
1,0,303601,25,1403.06188839,120.80032618,10,130395679552962673
2,0,303601,25,1516.43909008,1003.78027699,10,130395679552962686
3,0,303601,25,65.1802036606,1104.33569582,10,130395679552962689
4,0,303601,25,833.966665819,1123.72955095,10,130395679552962690
5,0,303601,25,1738.0307624,1121.59838067,10,130395679552962691
6,0,303601,25,946.939032402,1242.380248,10,130395679552962694
7,0,303601,25,1088.03760533,1301.20129008,10,130395679552962696
8,0,303601,25,1336.35339993,1581.76940353,10,130395679552962701
9,0,303601,25,1873.65148361,1588.08288485,10,130395679552962702
10,0,303601,25,584.127073084,1656.68823682,10,130395679552962703
11,0,303601,25,1900.57419337,1729.02633985,10,130395679552962705
12,0,303601,25,1631.44185425,1759.19937218,10,130395679552962706
13,0,303601,25,88.7228844838,1777.024061,10,130395679552962708
14,0,303601,25,1957.73546757,2173.758063,10,130395679552962711
15,0,303601,25,1308.73950446,2208.51391474,10,130395679552962712
16,0,303601,25,272.458757447,2314.01197155,10,130395679552962713
17,0,303601,25,1651.79344968,2437.37281197,10,130395679552962716
18,0,303601,25,1861.13793165,2595.25611405,10,130395679552962718
19,0,303601,25,73.7444537615,2715.92896487,10,130395679552962719
20,0,303601,25,1003.69440147,2799.76195568,10,130395679552962721
21,0,303601,25,1913.87059958,2960.39527181,10,130395679552962724
22,0,303601,25,1444.39771683,3025.64687859,10,130395679552962726
23,0,303601,25,1715.61912929,3038.77125296,10,130395679552962727
24,0,303601,25,42.5551426656,3091.82749572,10,130395679552962729
25,0,303601,25,795.938666651,3205.00145462,10,130395679552962731
26,0,303601,25,1744.47620688,3246.75136936,10,130395679552962732
27,0,303601,25,1168.9273619,3257.21826428,10,130395679552962733
28,0,303601,25,1795.82005797,3290.98584985,10,130395679552962735
29,0,303601,25,488.834491004,3363.11570942,10,130395679552962737
30,0,303601,25,104.921753704,3654.07568125,10,130395679552962741
31,0,303601,25,430.439405849,3695.83251218,10,130395679552962742
32,0,303601,25,406.644916523,3711.87645554,10,130395679552962743
33,0,303601,25,1094.15709419,3718.29102344,10,130395679552962744
34,0,303601,25,115.524903116,3951.63946895,10,130395679552962748
35,0,303589,25,251.642543586,106.686711734,10,130390525592207453
